,states,X,Y
0,Andaman And Nicobar Islands,233.0,-323.0
1,Andhra Pradesh,-78.0,-204.0
2,Arunachal Pradesh,284.0,129.0
3,Assam,241.0,77.0
4,Bihar,82.0,63.0
5,Chandigarh,-127.0,188.0
6,Chhattisgarh,-12,-39.0
7,Delhi,-120.0,134.0
8,Goa,-190.0,-195.0
9,Gujarat,-252.0,-9.0
10,Haryana,-142.0,148.0
11,Himachal Pradesh,-122.0,224.0
12,Jammu And Kashmir,-184.0,284.0
13,Jharkhand,55.0,13.0
14,Karnataka,-158.0,-220.0
15,Kerala,-140.0,-308
16,Madhya Pradesh,-107.0,-5.0
17,Maharashtra,-181.0,-99.0
18,Manipur,261.0,32.0
19,Meghalaya,194.0,54.0
20,Mizoram,236.0,-7.0
21,Nagaland,278.0,69.0
22,Odisha,46.0,-66.0
23,Puducherry,-59.0,-278.0
24,Punjab,-163.0,192.0
25,Rajasthan,-205.0,82.0
26,Sikkim,137.0,108.0
27,Tamil Nadu,-95.0,-300.0
28,Tripura,209.0,8.0
29,Uttar Pradesh,-46.0,94.0
30,Uttarakhand,-74.0,175.0
31,West Bengal,122.0,-9.0
32,Telangana,-83.0,-137.0
33,Lakshadweep,-257.0,-351.0

